"Add video","Add video"
"New Video","New Video"
"Product Video","Product Video"
"YouTube API key","YouTube API key"
"You have not entered youtube API key. No information about youtube video will be retrieved.","You have not entered youtube API key. No information about youtube video will be retrieved."
"Url","Url"
"Preview Image","Preview Image"
"Get Video Information","Get Video Information"
"Youtube or Vimeo supported","Youtube or Vimeo supported"
"Upload Video","Upload Video"
"Upload New Video","Upload New Video"
"Only Mp4 supported.","Only Mp4 supported."